city,lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
touros,-5.2,-35.46,75.2,83,20,4.7,BR,1600299609
kaeo,-35.1,173.78,63.88,60,6,8.48,NZ,1600299610
hobart,-42.88,147.33,50,61,20,9.17,AU,1600299398
port alfred,-33.59,26.89,58.98,75,11,16.93,ZA,1600299492
odesskoye,54.21,72.97,48.85,57,32,16.42,RU,1600299610
tuktoyaktuk,69.45,-133.04,46.4,70,75,11.41,CA,1600299611
kaitangata,-46.28,169.85,49.32,89,100,15.93,NZ,1600299611
sidi bu zayd,,,,,,,,
mackay,-21.15,149.2,75.99,73,40,16.11,AU,1600299612
east london,-33.02,27.91,62.17,62,27,16.42,ZA,1600299612
nsanje,-16.92,35.26,76.41,58,0,3.13,MW,1600299612
puerto ayora,-0.74,-90.35,66.99,89,83,7,EC,1600299613
busselton,-33.65,115.33,51.01,64,1,15.84,AU,1600299613
erenhot,43.65,111.98,52.83,55,0,9.35,CN,1600299613
albany,42.6,-73.97,64.99,57,5,5.39,US,1600299614
saraza,8.74,117.78,78.37,89,100,16.31,PH,1600299614
kodiak,57.79,-152.41,53.6,81,75,10.29,US,1600299615
bethel,41.37,-73.41,64.4,68,1,5.82,US,1600299601
te anau,-45.42,167.72,47.48,89,100,6.35,NZ,1600299615
ushuaia,-54.8,-68.3,39.2,64,40,18.34,AR,1600299367
cidreira,-30.18,-50.21,62.49,96,100,6.06,BR,1600299616
tanete,-3.94,119.78,79.02,71,97,7.96,ID,1600299616
cape town,-33.93,18.42,54,93,40,5.82,ZA,1600299498
dharchula,29.85,80.53,66.87,75,63,0.98,IN,1600299616
bathsheba,13.22,-59.52,82.4,74,20,6.93,BB,1600299617
san ramon,37.78,-121.98,88,31,1,6.93,US,1600299617
tutoia,-2.76,-42.27,79.56,80,0,14.18,BR,1600299618
kavieng,-2.57,150.8,85.15,75,22,15.28,PG,1600299618
chokurdakh,70.63,147.92,40.68,79,93,1.54,RU,1600299618
hermanus,-34.42,19.23,52,95,10,7.07,ZA,1600299618
barentsburg,,,,,,,,
souillac,-20.52,57.52,64.4,93,75,6.93,MU,1600299619
jamestown,42.1,-79.24,69.01,68,1,8.05,US,1600299619
santa rita,-7.11,-34.98,73.4,94,75,10.29,BR,1600299620
awbari,26.59,12.78,78.13,38,0,9.26,LY,1600299620
rikitea,-23.12,-134.97,73.76,76,7,8.32,PF,1600299620
tete,-16.16,33.59,78.8,54,21,4.14,MZ,1600299621
lichtenburg,-26.15,26.16,50.45,33,0,7.63,ZA,1600299621
barrow,71.29,-156.79,46.4,87,90,11.41,US,1600299621
port elizabeth,-33.92,25.57,57.2,76,2,14.99,ZA,1600299622
half moon bay,37.46,-122.43,80.01,78,1,14.99,US,1600299622
fort nelson,58.81,-122.7,55.4,54,75,4.7,CA,1600299622
qasigiannguit,68.82,-51.19,37.4,93,99,5.82,GL,1600299622
punta arenas,-53.15,-70.92,41,80,75,9.17,CL,1600299374
geraldton,-28.77,114.6,53.6,66,0,16.11,AU,1600299623
tasiilaq,65.61,-37.64,39.2,94,100,10.29,GL,1600299623
mataura,-46.19,168.86,48,93,100,13,NZ,1600299624
maragogi,-9.01,-35.22,73.09,80,11,8.99,BR,1600299624
tsihombe,,,,,,,,
ancud,-41.87,-73.82,51.1,94,100,23.13,CL,1600299624
vaini,-21.2,-175.2,75.2,64,40,13.87,TO,1600299625
nemuro,43.32,145.57,66.69,92,100,13.11,JP,1600299625
faya,18.39,42.45,66.2,72,30,3.76,SA,1600299625
shingu,33.73,135.98,77,94,75,4.7,JP,1600299626
butaritari,3.07,172.79,82.99,71,51,19.28,KI,1600299626
udachnyy,66.42,112.4,48.2,57,31,4.47,RU,1600299453
mehamn,71.04,27.85,43.29,70,52,12.46,NO,1600299627
saleaula,,,,,,,,
atuona,-9.8,-139.03,78.31,75,0,19.82,PF,1600299627
torbay,47.67,-52.73,52,66,75,10.29,CA,1600299329
tiksi,71.69,128.87,45.27,80,98,12.33,RU,1600299628
taolanaro,,,,,,,,
grand river south east,,,,,,,,
eenhana,-17.47,16.33,66.2,7,0,2.24,NA,1600299628
bentiu,9.23,29.83,72.95,90,63,2.62,SS,1600299628
san policarpo,12.18,125.51,77.99,89,100,11.36,PH,1600299629
yaan,7.38,8.57,72.07,98,93,4.7,NG,1600299629
carnarvon,-24.87,113.63,60.8,59,0,11.41,AU,1600299629
sao filipe,14.9,-24.5,81.23,80,0,4.41,CV,1600299629
umm lajj,25.02,37.27,93.9,26,0,10.13,SA,1600299630
tayginka,55.62,60.51,50.38,86,100,17.31,RU,1600299630
ust-kut,56.79,105.77,46.89,78,16,1.12,RU,1600299630
nanortalik,60.14,-45.24,39.88,87,98,16.24,GL,1600299404
nova olinda do norte,-3.89,-59.09,84.83,57,78,2.75,BR,1600299631
onega,63.91,38.14,44.28,80,100,14.43,RU,1600299631
mogwase,-25.18,27.27,58.37,62,1,6.33,ZA,1600299631
lao cai,22.48,103.95,78.12,82,100,0.78,VN,1600299632
illoqqortoormiut,,,,,,,,
robertsport,6.75,-11.37,76.15,89,32,8.99,LR,1600299632
tumannyy,,,,,,,,
nishihara,26.18,127.76,84.2,88,40,11.41,JP,1600299632
nikolskoye,59.7,30.79,59,87,90,13.42,RU,1600299633
upernavik,72.79,-56.15,30.99,88,100,3.11,GL,1600299633
narsaq,60.92,-46.05,44.6,81,98,9.17,GL,1600299633
hami,42.8,93.45,61.97,30,0,3.13,CN,1600299634
avarua,-21.21,-159.78,77,69,29,9.17,CK,1600299373
alofi,-19.06,-169.92,77,78,75,23.04,NU,1600299634
arraial do cabo,-22.97,-42.03,73.4,83,36,11.41,BR,1600299634
provideniya,64.38,-173.3,50,81,75,4.47,RU,1600299635
port lincoln,-34.73,135.87,57.22,93,100,20.13,AU,1600299635
olafsvik,64.89,-23.71,49.77,82,48,23.31,IS,1600299635
vanavara,60.34,102.28,43.81,79,0,4.12,RU,1600299636
barhi,23.9,80.8,76.8,87,86,4.12,IN,1600299636
castro,-24.79,-50.01,65.32,60,79,2.89,BR,1600299636
saskylakh,71.92,114.08,49.48,75,99,7.7,RU,1600299637
port hedland,-20.32,118.57,73.4,88,0,8.05,AU,1600299637
matagami,49.75,-77.63,39.2,93,90,13.87,CA,1600299638
santo antonio do sudoeste,-26.07,-53.73,66.87,86,100,5.1,BR,1600299638
katsuura,35.13,140.3,79,88,85,5.19,JP,1600299638
barra patuca,15.8,-84.28,83.28,79,5,10.07,HN,1600299639
ribeira grande,38.52,-28.7,66.45,64,100,14.23,PT,1600299639
ilulissat,69.22,-51.1,37.4,93,99,5.82,GL,1600299639
junin,-34.58,-60.94,59,27,45,2.89,AR,1600299639
lingdong,46.57,131.15,62.01,86,96,8.59,CN,1600299640
noumea,-22.28,166.46,71.6,73,75,11.41,NC,1600299640
saint-philippe,-21.36,55.77,64.4,63,40,3.36,RE,1600299640
ola,59.58,151.28,51.57,66,100,4.65,RU,1600299641
omboue,-1.57,9.26,74.98,85,100,9.1,GA,1600299641
mikhaylovka,50.06,43.24,47.07,73,0,1.68,RU,1600299641
kruisfontein,-34,24.73,55.99,69,43,1.01,ZA,1600299642
vanimo,-2.67,141.3,82.9,72,88,6.06,PG,1600299642
